Id,Label
morning,morning
brought,brought
attention,attention
didnt,didnt
sre,sre
pictures,pictures
sheba,sheba
shes,shes
family,family
past,past
12,12
years,years
dogs,dogs
like,like
cuteness,cuteness
aggression,aggression
make,make
pretty,pretty
aggressive,aggressive
❤️😂🫰,❤️😂🫰
pig,pig
猪税,猪税
pigtax,pigtax
退税,退税
mycat🐈,mycat🐈
photo,photo
翊,翊
chanel,chanel
nelly,nelly
doge,doge
australianshepherd,australianshepherd
goldendoodle,goldendoodle
dachshund,dachshund
shibainu,shibainu
chihuahua,chihuahua
goldenretriever,goldenretriever
改用,改用
骆驼,骆驼
camels,camels
instead,instead
camel,camel
user,user
thought,thought
'd,'d
kitty,kitty
pixi,pixi
miu,miu
控,控
gus,gus
big,big
orange,orange
dale,dale
babysit,babysit
shylo,shylo
brother,brother
shadow,shadow
find,find
funny,funny
🥰,🥰
blackcat,blackcat
well,well
speak,speak
must,must
caught,caught
drinking,drinking
milk,milk
straight,straight
carton,carton
decided,decided
说,说
交猫,交猫
刚刚,刚刚
抓到,抓到
牛奶,牛奶
盒里,盒里
喝牛奶,喝牛奶
castiel,castiel
cas,cas
supernatural,supernatural
spn,spn
mishacollins,mishacollins
邪恶,邪恶
力量,力量
tiktokban,tiktokban
physician,physician
united,united
states,states
anything,anything
医生,医生
随便,随便
images,images
related,related
work,work
paid,paid
图片,图片
相关,相关
工作,工作
场景,场景
medicine,medicine
healthcare,healthcare
warm,warm
welcome,welcome
still,still
learning,learning
use,use
canadian,canadian
crafting,crafting
sewing,sewing
fashion,fashion
anime,anime
makeup,makeup
感谢您,感谢您
热烈欢迎,热烈欢迎
加拿大人,加拿大人
手工,手工
缝纫,缝纫
时尚,时尚
动漫,动漫
化妆,化妆
le,le
地球村,地球村
口,口
聊聊天,聊聊天
世界各地,世界各地
拜年,拜年
挑战,挑战
亲爱,亲爱
请收,请收
dear,dear
friend,friend
猫奴,猫奴
hope,hope
him~,him~
希望,希望
may,may
fox,fox
visits,visits
dad,dad
cooks,cooks
bbq,bbq
爸爸,爸爸
烤,烤
烧烤,烧烤
时来,时来
狐狸,狐狸
update,update
never,never
google,google
better,better
translation,translation
deepl,deepl
first,first
one,one
midnight,midnight
black,black
second,second
arlo,arlo
grey,grey
第一个,第一个
半夜,半夜
第二只,第二只
阿洛,阿洛
told,told
needed,needed
baby,baby
minneapolis,minneapolis
mn,mn
forward,forward
hopefully,hopefully
return,return
chowder，,chowder，
10,10
岁,岁
散步,散步
吃,吃
草,草
专心,专心
嗅,嗅
东西,东西
夏天,夏天
追逐,追逐
虫子,虫子
零食,零食
鲑鱼,鲑鱼
蛋白,蛋白
泡,泡
芙,芙
干,干
小鱼,小鱼
chowder,chowder
~10,~10
enjoys,enjoys
going,going
walks,walks
eat,eat
grass,grass
sniff,sniff
things,things
intently,intently
chase,chase
bugs,bugs
summer,summer
especially,especially
favorite,favorite
treats,treats
salmon,salmon
protein,protein
poofs,poofs
occasional,occasional
dried,dried
minnows~,minnows~
sissy,sissy
striped,striped
rambo,rambo
fluffy,fluffy
white,white
bearded,bearded
dragon,dragon
妈妈,妈妈
enzo,enzo
说话,说话
表示感谢,表示感谢
感谢,感谢
愉快,愉快
更好,更好
方法,方法
证明,证明
足够,足够
依赖,依赖
谷歌,谷歌
发现,发现
弥合,弥合
差距,差距
微薄,微薄
尝试,尝试
mama,mama
speaking,speaking
wanted,wanted
gratitude,gratitude
way,way
happily,happily
prove,prove
sufficient,sufficient
heavily,heavily
relying,relying
meager,meager
attempt,attempt
bridge,bridge
communication,communication
gap,gap
acceptable,acceptable
recently,recently
joined,joined
community,community
piss,piss
government,government
edward,edward
eddie,eddie
two,two
mittsy,mittsy
cookie,cookie
两只,两只
plan,plan
stay,stay
计划,计划
留在,留在
account,account
帐户,帐户
🤍,🤍
māo,māo
goofy,goofy
silly,silly
letting,letting
crash,crash
couch,couch
offerings,offerings
🤲,🤲
shorthair,shorthair
boy,boy
named,named
bob,bob
calico,calico
girl,girl
marley,marley
沙发,沙发
休息,休息
礼物,礼物
短,短
毛猫,毛猫
名叫,名叫
鲍勃,鲍勃
男孩,男孩
三色,三色
马利,马利
女孩,女孩
son,son
chopper,chopper
looks,looks
polite,polite
plots,plots
evil,evil
pets,pets
儿子,儿子
菜刀,菜刀
礼貌,礼貌
策划,策划
ktties,ktties
gypsy,gypsy
tortoiseshell,tortoiseshell
11,11
cleo,cleo
turkish,turkish
angora,angora
吉普赛人,吉普赛人
玳瑁,玳瑁
）11,）11
克莱奥,克莱奥
土耳其,土耳其
安哥拉,安哥拉
）7,）7
真的,真的
need,need
come,come
really,really
cattax_receipt,cattax_receipt
cattax2025,cattax2025
english,english
feed,feed
neighborhood,neighborhood
left,left
ginger,ginger
vanilla,vanilla
friendly,friendly
owned,owned
neighbors,neighbors
across,across
street,street
chatty,chatty
oreo,oreo
think,think
owner,owner
scared,scared
much,much
healthier,healthier
days,days
喂养,喂养
邻居家,邻居家
几只,几只
左边,左边
橙色,橙色
猫叫,猫叫
姜杰,姜杰
右边,右边
香草,香草
友好,友好
街,街
对面,对面
邻居,邻居
养,养
黑白相间,黑白相间
奥利,奥利
奥,奥
主人,主人
怕人,怕人
健康,健康
橘猫,橘猫
orangecat,orangecat
黑猫,黑猫
creator,creator
sweden,sweden
would,would
entry,entry
tarly,tarly
bombay,bombay
samwell,samwell
song,song
ice,ice
fire,fire
crowley,crowley
loveable,loveable
demon,demon
omens,omens
入口,入口
塔利,塔利
黑人,黑人
孟买,孟买
取自,取自
冰,冰
火之歌,火之歌
中,中
山姆,山姆
威尔,威尔
克劳,克劳
利,利
兆头,兆头
恶魔,恶魔
命名,命名
豆包,豆包
豆,豆
bug,bug
soya,soya
tex,tex
george,george
，tex,，tex
george，,george，
gato,gato
💰,💰
cattax！her,cattax！her
molly~nice,molly~nice
meet,meet
u,u
薯,薯
吸猫,吸猫
日常,日常
交出,交出
拒绝,拒绝
好像,好像
butthole,butthole
nepheli,nepheli
小说,小说
赫本,赫本
逸,逸
收,收
colorado,colorado
首发,首发
感兴趣,感兴趣
音乐,音乐
generous,generous
bring,bring
offering…,offering…
oberon,oberon
gizmo,gizmo
nyx,nyx
姐妹,姐妹
們,們
我想繳,我想繳
貓稅,貓稅
maria,maria
sisters,sisters
coming,coming
contribution,contribution
🖤,🖤
khoshekh,khoshekh
ember,ember
freya,freya
萌宠,萌宠
messed,messed
blame,blame
混乱,混乱
责怪,责怪
try,try
nice,nice
citizen,citizen
tax🙏,tax🙏
咪咪,咪咪
猪,猪
这张,这张
家猫,家猫
mom,mom
sent,sent
forget,forget
guys,guys
promise,promise
😅,😅
maleficent-,maleficent-
mal,mal
lem,lem
世界,世界
绕,绕
尊重,尊重
包容,包容
背景,背景
建立,建立
和谐社会,和谐社会
第一步,第一步
英文,英文
每日,每日
英语口语,英语口语
听,听
英语,英语
口语,口语
地道,地道
表达,表达
外企,外企
工人,工人
四六级,四六级
冷,冷
知识,知识
单词,单词
背单词,背单词
打卡,打卡
英语老师,英语老师
启蒙,启蒙
基础,基础
学,学
自律,自律
成长,成长
舒芙蕾,舒芙蕾
云朵,云朵
甜品,甜品
甜点,甜点
日常生活,日常生活
快乐,快乐
瞬间,瞬间
放大,放大
生活,生活
一种,一种
小美,小美
甜甜的,甜甜的
恋爱,恋爱
sunglasses,sunglasses
投票,投票
went,went
answer,answer
questions,questions
foreign,foreign
几个,几个
出去玩,出去玩
回答,回答
结交,结交
外国,外国
周末,周末
交友,交友
平常,平常
foreign_friend,foreign_friend
question,question
worst,worst
foreigner,foreigner
country,country
china,china
malaysia,malaysia
✌️,✌️
短短,短短
不到,不到
两天,两天
时间,时间
全,全
数百人,数百人
支持,支持
张开,张开
双臂,双臂
时,时
从未有过,从未有过
善意,善意
赞赏,赞赏
感到,感到
非常高兴,非常高兴
亲切,亲切
想到,想到
追随者,追随者
我会,我会
努力,努力
回复,回复
一条,一条
评论,评论
之情,之情
嘀嗒,嘀嗒
热爱,热爱
历史,历史
建立联系,建立联系
来到,来到
长住,长住
谢谢你们,谢谢你们
03,03
usa,usa
join,join
anyway,anyway
fun,fun
🩷🥲,🩷🥲
spent,spent
14,14
living,living
word,word
consistently,consistently
grated,grated
always,always
felt,felt
label,label
box,box
placed,placed
rather,rather
recognition,recognition
individual,individual
identity,identity
term,term
implies,implies
outsider,outsider
someone,someone
inherently,inherently
perhaps,perhaps
unwelcome,unwelcome
lacks,lacks
nuance,nuance
respect,respect
given,given
individuals,individuals
diverse,diverse
backgrounds,backgrounds
far,far
appropriate,appropriate
terms,terms
available,available
westerner,westerner
perfect,perfect
could,could
inclusive,inclusive
respectful,respectful
contexts,contexts
canada,canada
encountered,encountered
particularly,particularly
jarring,jarring
experience,experience
l,l
highlights,highlights
greater,greater
awareness,awareness
sensitivity,sensitivity
around,around
countries,countries
within,within
communities,communities
handsome,handsome
feels,feels
weird,weird
🫠😂,🫠😂
heyo,heyo
hoping,hoping
accepted,accepted
huge,huge
gamer,gamer
free,free
makefriend,makefriend
shanghai,shanghai
xian,xian
chinatravel,chinatravel
travelchina,travelchina
beijing,beijing
popular,popular
figure,figure
history,history
qin,qin
shi,shi
huang,huang
live,live
south,south
florida,florida
birds,birds
snows,snows
ok.,ok.
outfit,outfit
ootd,ootd
穿,穿
搭,搭
减肥,减肥
美妆,美妆
自然,自然
流,流
账号,账号
定制,定制
嗨,嗨
，rednote,，rednote
小伙伴,小伙伴
我想教,我想教
年轻人,年轻人
常用,常用
refugees,refugees
完,完
篇文章,篇文章
理解,理解
中说,中说
无需,无需
lmk,lmk
missed,missed
users,users
teach,teach
行话,行话
语言,语言
lunch,lunch
学校,学校
clothes,clothes
mad,mad
putting,putting
proof,proof
indeed,indeed
hid,hid
important,important
information,information
documents,documents
lowered,lowered
resolution,resolution
showing,showing
passport,passport
social,social
security,security
card,card
pandemic,pandemic
shot,shot
record,record
确实,确实
隐藏,隐藏
证件,证件
信息,信息
降低,降低
分辨率,分辨率
三份,三份
护照,护照
社会保障,社会保障
卡,卡
疫情,疫情
期间,期间
接种,接种
记录,记录
student,student
学生,学生
！！,！！
事情,事情
！！😜🤩,！！😜🤩
！（,！（
帮忙,帮忙
功课,功课
bothering,bothering
joining,joining
culture,culture
beautiful,beautiful
打扰,打扰
美丽,美丽
apologize,apologize
best,best
尽我所能,尽我所能
real,real
angelina,angelina
teachers,teachers
wanting,wanting
series,series
short,short
videos,videos
exposing,exposing
issues,issues
education,education
system,system
something,something
interested,interested
comments,comments
teaching,teaching
critique,critique
謝謝,謝謝
里程碑,里程碑
newuser,newuser
follow,follow
ciao,ciao
cina,cina
🇮🇹italiani,🇮🇹italiani
ce,ce
ne,ne
sono,sono
usaban,usaban
chicago,chicago
travel,travel
italianguy,italianguy
italian,italian
italia,italia
christian,christian
worried,worried
conditions,conditions
current,current
administration,administration
read,read
book,book
esther,esther
bible,bible
persecution,persecution
end,end
haman,haman
push,push
start,start
pineapple,pineapple
honey,honey
glazed,glazed
yummy😝,yummy😝
tikto,tikto
aesthetic,aesthetic
审美,审美
美学,美学
人生,人生
意义,意义
complicated,complicated
changed,changed
ago,ago
quarrel,quarrel
said,said
dare,dare
tolerate,tolerate
immediately,immediately
bought,bought
air,air
ticket,ticket
tracked,tracked
thousands,thousands
miles,miles
arizona,arizona
found,found
yet,yet
artist,artist
helloo,helloo
gain,gain
suck,suck
欧美,欧美
super,super
grateful,grateful
accepting,accepting
lots,lots
video,video
china❤️,china❤️
tk,tk
"300,000","300,000"
fans,fans
much！so,much！so
came,came
fan,fan
xhs,xhs
🤓,🤓
sharing,sharing
taken,taken
runner,runner
marathon,marathon
原创,原创
独立,独立
歌手,歌手
moot,moot
contrary,contrary
trends,trends
actually,actually
tiktokrefugees,tiktokrefugees
heal,heal
broken,broken
heart,heart
不好,不好
tikok,tikok
tikotk,tikotk
tt,tt
tiktokban🇺🇸,tiktokban🇺🇸
titktok,titktok
utah,utah
事,事
居住,居住
犹他州,犹他州
。🇺🇸,。🇺🇸
tips,tips
clarification,clarification
view,view
想法,想法
轻松,轻松
发,发
helpme,helpme
rednote🇺🇸,rednote🇺🇸
教学,教学
交流,交流
makingfriends,makingfriends
post,post
trying,trying
fit,fit
lot,lot
height,height
weight,weight
give,give
honestly,honestly
写,写
是因为,是因为
融入,融入
提到,提到
身高,身高
体重,体重
试一试,试一试
老实,老实
明白,明白
version,version
era,era
chance,chance
fresh,fresh
anonymous,anonymous
ironic,ironic
considering,considering
long,long
loved,loved
content,content
creation-not,creation-not
fame,fame
artistic,artistic
joy,joy
famous,famous
viral,viral
everything,everything
2021,2021
became,became
pregnancy,pregnancy
rough,rough
lost,lost
energy,energy
confidence,confidence
tried,tried
posting,posting
internet,internet
toxic-full,toxic-full
judgment,judgment
act,act
born,born
2023,2023
media,media
entirely,entirely
creating,creating
saw,saw
mention,mention
retreat,retreat
uses,uses
colleagues,colleagues
finally,finally
create,create
reading,reading
ttrefugee,ttrefugee
ttrefugeestory,ttrefugeestory
母性,母性
母亲,母亲
之旅,之旅
storyofmylife,storyofmylife
healingera,healingera
russian-american,russian-american
你们好,你们好
俄美,俄美
混血,混血
club,club
main,main
doppelganger,doppelganger
glad,glad
all！,all！
due,due
platform,platform
rules,rules
provide,provide
healthy,healthy
comfortable,comfortable
chatting,chatting
atmosphere,atmosphere
continuous,continuous
stable,stable
e,e
making,making
environment,environment
😊,😊
reason,reason
🌟,🌟
tok,tok
chat,chat
room,room
starts,starts
8:00-15:00,8:00-15:00
19:00-1:00,19:00-1:00
🌅,🌅
york,york
6:00-12:00,6:00-12:00
🌃,🌃
san,san
francisco,francisco
16:00-22:00,16:00-22:00
3:00-9:00,3:00-9:00
🌙,🌙
'll,'ll
alternating,alternating
🌟👇,🌟👇
号,号
跟班,跟班
幸运,幸运
所有人,所有人
见面,见面
平台,平台
规则,规则
总大号,总大号
停播,停播
提供,提供
舒适,舒适
聊天,聊天
氛围,氛围
持续,持续
稳定,稳定
环境,环境
出生,出生
原因,原因
聊天室,聊天室
开播,开播
北京,北京
：8:00,：8:00
15:00,15:00
19:00,19:00
次日,次日
1:00🌄,1:00🌄
美国纽约,美国纽约
：19:00-,：19:00-
凌晨,凌晨
1:00,1:00
6:00,6:00
12:00）🌆,12:00）🌆
旧金山,旧金山
：16:00,：16:00
22:00,22:00
3:00,3:00
9:00）🌙,9:00）🌙
两个,两个
轮流,轮流
关注,关注
connect,connect
great,great
foreigners,foreigners
feeling,feeling
bit,bit
help,help
plus,plus
improve,improve
skills,skills
hesitate,hesitate
grow,grow
together,together
🫶🏻,🫶🏻
refugee，,refugee，
英国人,英国人
教,教
🙏,🙏
heyy,heyy
lmao,lmao
fuck,fuck
ran,ran
heres,heres
three,three
18,18
pups,pups
grizzly,grizzly
anna,anna
absolutely,absolutely
boyfriend,boyfriend
wont,wont
privacy,privacy
draw,draw
6th,6th
piece,piece
made,made
awhile,awhile
back,back
minecraft,minecraft
theres,theres
build,build
weekend,weekend
another,another
play,play
cod,cod
game,game
他妈的,他妈的
tiktok，,tiktok，
跑,跑
前,前
三张,三张
，18,，18
小狗,小狗
anna。,anna。
棒,棒
男朋友,男朋友
隐私,隐私
画画,画画
张,张
不久前,不久前
画,画
一幅,一幅
minecraft，,minecraft，
作品,作品
玩,玩
cod。,cod。
不错,不错
游戏,游戏
shutting,shutting
opportunity,opportunity
respond,respond
willing,willing
possible,possible
关闭,关闭
事实上,事实上
机会,机会
技巧,技巧
自拍,自拍
能教,能教
短语,短语
太好了,太好了
情况,情况
我用,我用
外语,外语
书展,书展
yuki,yuki
pls,pls
💕,💕
头像,头像
女孩子,女孩子
自制,自制
美女,美女
netherlands,netherlands
firstpost,firstpost
follow4followback,follow4followback
丑陋,丑陋
everybody，,everybody，
法国,法国
🇫🇷,🇫🇷
运动,运动
美食,美食
汉语,汉语
不太好,不太好
加拿大,加拿大
帅哥,帅哥
snowed,snowed
special,special
snowday,snowday
hii,hii
16-year-old,16-year-old
homework,homework
16,16
帮,帮
做作业,做作业
foremost,foremost
onto,onto
matt,matt
28,28
single,single
princess,princess
construction,construction
truck,truck
driver,driver
sin,sin
city,city
ride,ride
harleys,harleys
go,go
fishing,fishing
boat,boat
others,others
activities,activities
anyone,anyone
thats,thats
dumpster,dumpster
fires,fires
american_refugees,american_refugees
motorcycle,motorcycle
boating,boating
harley,harley
toyota,toyota
unitedstates🇺🇸,unitedstates🇺🇸
ama,ama
alyssa,alyssa
salem,salem
当好,当好
hey,hey
thrilled,thrilled
📚,📚
exploring,exploring
genres,genres
diving,diving
deeper,deeper
world,world
books,books
seasoned,seasoned
pro,pro
passionate,passionate
discovering,discovering
stories,stories
bookish,bookish
thoughts,thoughts
exchange,exchange
recommendations,recommendations
fangirl/fanboy,fangirl/fanboy
favorites,favorites
journey,journey
✨,✨
booklovers,booklovers
romance,romance
fantasy,fantasy
darkromance,darkromance
暗黑,暗黑
浪漫,浪漫
趋势,趋势
来小红书,来小红书
北美版,北美版
哈哈哈,哈哈哈
ozzy,ozzy
內容,內容
這,這
隻,隻
貓是,貓是
這個,這個
星球,星球
可愛的,可愛的
改變,改變
teddy🐻,teddy🐻
cause,cause
aviation,aviation
employee,employee
flight,flight
operations,operations
relevant,relevant
outside,outside
听到,听到
消息,消息
禁,禁
离开,离开
令人,令人
难过,难过
有用,有用
很棒,很棒
社区,社区
珠宝,珠宝
服装,服装
指甲,指甲
了不起,了不起
启发,启发
肯定,肯定
tiktokban2025,tiktokban2025
美甲,美甲
方式,方式
hear,hear
news,news
longer,longer
banned,banned
probably,probably
leave,leave
kinda,kinda
sad,sad
helpful,helpful
jewelry,jewelry
nails,nails
inspired,inspired
sure,sure
amanda,amanda
refugee/explorer,refugee/explorer
humans,humans
occasionally,occasionally
adventures,adventures
medical,medical
kind,kind
阿曼,阿曼
达,达
探索者,探索者
人类,人类
发布,发布
家人,家人
冒险,冒险
经历,经历
医学,医学
保证,保证
善良,善良
though,though
now.,now.
用户,用户
回去,回去
👋,👋
insta,insta
snap,snap
tewizo11,tewizo11
maybe,maybe
install,install
wechat,wechat
allowing,allowing
food,food
yalls,yalls
dior,dior
crazy,crazy
sometimes,sometimes
sweet,sweet
rednote，,rednote，
熟悉,熟悉
leaving,leaving
losing,losing
mind,mind
happening,happening
reluctant,reluctant
holding,holding
阻碍,阻碍
丈夫,丈夫
湖南人,湖南人
摄影,摄影
从没,从没
去过,去过
感觉,感觉
很会,很会
辣,辣
？🧐,？🧐
交,交
husband,husband
hunan,hunan
music,music
photography,photography
met,met
spice,spice
easily,easily
handle,handle
spicy,spicy
🧐,🧐
language,language
老外,老外
santa,santa
monica,monica
洛杉矶,洛杉矶
alo,alo
健身,健身
tik,tik
interact,interact
witth,witth
占据,占据
禁令,禁令
迁移,迁移
同胞们,同胞们
回关,回关
maya,maya
moots,moots
kpop,kpop
stuff,stuff
多谢,多谢
我门,我门
helped,helped
practice,practice
spanish,spanish
cuba,cuba
trend,trend
español,español
latinos,latinos
foryou,foryou
5k,5k
legit,legit
98,98
messages,messages
obvious,obvious
scammers,scammers
ip,ip
address,address
known,known
fake,fake
profiles,profiles
get,get
algorithm,algorithm
rid,rid
！tiktok,！tiktok
🫡,🫡
guess,guess
getting,getting
migrating,migrating
😭,😭
是从,是从
哈士奇,哈士奇
用小红书,用小红书
帮帮我,帮帮我
。😅,。😅
husky,husky
mexico,mexico
u.s,u.s
🤔🤔🤔,🤔🤔🤔
cool,cool
swear,swear
surf,surf
browsing,browsing
vids,vids
switching,switching
playforms,playforms
japanese,japanese
french,french
degree,degree
dodgers,dodgers
ppl,ppl
area,area
s/o,s/o
fellow,fellow
ohtani,ohtani
hiking,hiking
playing,playing
piano,piano
ive,ive
hiked,hiked
half,half
dome,dome
yosemite,yosemite
twice,twice
tt_refugee,tt_refugee
tiktokban😭,tiktokban😭
landing,landing
page,page
currently,currently
review,review
patience,patience
meantime,meantime
introduce,introduce
拍,拍
聚集地,聚集地
审核,审核
耐心,耐心
等待,等待
在此期间,在此期间
页面,页面
自我介绍,自我介绍
乱带,乱带
标题,标题
国家,国家
lauryn,lauryn
worker,worker
lover,lover
nature/spending,nature/spending
outdoors,outdoors
games,games
dead,dead
redemption,redemption
sims,sims
stardew,stardew
valley,valley
married,married
wonderful,wonderful
exciting,exciting
friends🫂☮️🤍,friends🫂☮️🤍
space,space
easy,easy
vegan,vegan
寻找,寻找
secret,secret
code,code
nfa,nfa
dyor,dyor
investing,investing
xrp,xrp
wassup,wassup
🤟,🤟
今晨,今晨
布鲁塞尔,布鲁塞尔
街道,街道
今天天气,今天天气
真,真
brussels,brussels
number,number
followers,followers
kenya,kenya
玫瑰,玫瑰
america_refuge,america_refuge
鲜花,鲜花
instagram,instagram
youtube,youtube
tiktokrefuge,tiktokrefuge
italy,italy
danniebthomson,danniebthomson
imporant,imporant
business,business
dance,dance
07,07
brown,brown
indian,indian
continent,continent
called,called
africa,africa
🌍,🌍
4:53,4:53
早上好,早上好
话题,话题
tiktokrefugees2025,tiktokrefugees2025
tiktokrefugees😂,tiktokrefugees😂
nba,nba
hiphop,hiphop
文案,文案
值得,值得
sooo,sooo
cold,cold
today🥶,today🥶
relax,relax
旅游,旅游
我爱你,我爱你
molly,molly
you🥰,you🥰
stand,stand
unity,unity
support,support
warmth,warmth
bully,bully
point,point
lol,lol
_zjmc_,_zjmc_
😂,😂
loveithere,loveithere
dont,dont
thankful,thankful
welcomed,welcomed
open,open
arms,arms
非常感谢,非常感谢
wǒ,wǒ
bù,bù
zhīdào,zhīdào
zài,zài
zhèlǐ,zhèlǐ
zuò,zuò
shénme,shénme
dàn,dàn
fēicháng,fēicháng
gǎnxiè,gǎnxiè
néng,néng
shòudào,shòudào
zhāngkāishuāng,zhāngkāishuāng
bì,bì
de,de
huānyíng,huānyíng
shàng,shàng
nǐmen,nǐmen
shì,shì
zuì,zuì
bàng,bàng
德国,德国
问候,问候
！💕,！💕
julie，,julie，
17,17
